"","condition","time","4-hydroxy-benzoic acid","4-Hydroxycinnamic acid","Alanine","Arabinose","Arabitol","Ascorbic acid","Asparagine","Aspartate","Benzoic acid","beta-alanine","Citramalate","Citric acid","Citrulline/Arginine","Dehydroascorbic acid","Dehydroascorbic acid dimer","Docosanoic acid","Erythritol","Ethanolamine","Fructose","Fucose","Fumaric acid","GABA","Galactinol","Galactose","Gluconic acid","Glucose","Glutamate","Glutamine","Glycerol","Glycine","Glycolic acid","Hexacosanoic acid","Hydroxyproline","Indole-3-acetonitrile","Isoleucine","Itaconic acid","Lactic acid","Leucine","Lysine","Maleic acid","Malic acid","Maltose","Mannitol","Methionine","myo-inositol","Nicotinic acid","O-acetyl-serine","Octacosanoic acid","Octadecanoic acid","Ornithine","Palmitic acid","Phenylalanine","Proline","Putrescine","Pyruvic acid","Raffinose","Serine","Shikimate","Similar to 1,6 anhydro-beta-D-glucose","Similar to 2 Oxoglutaric acid","Similar to Adenine","Similar to Uridine 5 diphosphoglucose disodium salt","Similar.to.Adenine..2TMS.","Similar.to.Spermidine..5TMS.","Similar.to.Tetradecanoic.acid..1TMS.","Similar.to.Uric.acid..4TMS.","Sinapic acid","Succinic acid","Sucrose","Tetracosanoic acid","Threonic acid","Threonine","Trehalose","Tyrosine","Unknown 01","Unknown 02","Unknown 03","Unknown 04","Unknown 06","Unknown 07","Unknown 08","Unknown 11  (simiar to ribulose- 5-phosphate)","Unknown 12","Unknown 13","Unknown 15","Unknown 16","Unknown 17","Unknown 18","Unknown 19","Unknown 20","Uracil","Valine"
"21-D_100","21-D","100",0.186077913715622,-0.0699565842874268,-0.229946236501606,0.127853353716216,0.336473830085142,0.22568624706149,0.119024103142274,-0.000962117435383687,0.105678077894537,0.233888060174277,-0.0826318990051447,-0.284545872884282,-0.308168095931897,-0.20977676155543,0.103441687676302,0.39798545443637,0.103441687676302,0.110140484919323,-0.56846618082496,0.0463746434063252,-0.193744693118259,0.301782724020953,-0.0106187468011433,-0.0499049058263139,0.0252650888235365,-0.668103736021402,-0.158429362604483,-0.381448089590398,0.0440443327060212,-0.787534418568843,-0.126580496565143,0.103441687676302,-0.108321592051636,0.723340120251171,0.291996395348414,-0.296308637115987,-0.0699565842874268,0.609754962172443,0.681973922581629,-0.22431729826094,-0.432454552356253,0.29983076182237,-0.244115423670742,-0.350461180158946,0.0533430760859361,-0.0350469470992008,-0.381448089590398,-0.103146927103293,0.00623817221121988,0.112366523072563,-0.0474179287565815,-0.406725916116351,0.0989584800881688,0.677470656910191,-0.207561069935362,-0.00123846152468117,-0.0826318990051447,-0.155748270881571,0.401630466584741,-0.210340294529949,-0.171910072172629,0.336473830085142,-0.171910072172629,-0.0826318990051447,0.127853353716216,0.680474395327942,0.00623817221121988,0.556797246592743,-0.683468045673581,0.130052249189737,-0.163806540058933,-0.190997225060914,0.448196166059841,0.407080775450501,-0.0902908890736066,0.1583370271671,0.147523792308788,0.470927257475127,0.545309453797703,0.465713319595964,0.439357178474257,0.0440443327060212,0.0717626693000913,0.217437539393683,0.143175702697771,0.0876891286072285,0.183962834842595,0.169069817634883,0.558430917972031,0.510286816297868,0.7692075253037,-0.0130430374755989
"21-D_120","21-D","120",-0.0979907563507493,-0.273159079175257,-0.199255376063222,-0.0301281048269634,-0.0598959086429453,0.209141397838592,0.034685266209719,0.192404608729256,-0.0499049058263139,0.198703680186672,-0.0598959086429453,0.434027674663597,-0.0928529480685435,-0.379566427680191,0.00144197417390632,0.173340676410745,-0.241825610361718,0.0922074380970886,-0.161115446122722,-0.111637218256028,-0.0523961774536436,0.10568467497078,0.442899274633353,0.0648828515848541,0.069473040124243,-0.238431038693137,0.179723351800977,-0.0252259762881735,0.136628898054224,-0.771027430239839,-0.442222328605074,0.041710251884837,-0.0750133544168454,0.151858816727005,0.282143228781498,-0.378319276737761,0.112366523072563,0.736388400703461,0.788824893001456,-0.910421579522769,-0.0800879113226917,0.414315971361384,0.0556584273145413,-0.522840788813359,-0.0130430374755989,-0.218710237021592,-0.244115423670742,-0.0624045078507195,0.401630466584741,-0.0350469470992006,0.140996733788031,-0.448771114434012,-0.129207878534966,0.325002566036812,-0.284545872884282,0.993493221058416,-0.147734761808247,-0.320125852253377,-0.145073453101377,-0.0624045078507195,-0.241270431542137,-0.0573916638883365,-0.241270431542137,-0.409917014610242,0.223628487418819,0.258217389536018,0.248129982750056,0.592317495248168,-0.42597924956077,0.0510240030244666,0.0763310551341501,-0.193744693118259,0.24000896473507,0.54860102501995,0.190298791626595,0.162639729553787,0.14535138557262,0.276198865032242,0.550243998709518,0.558430917972031,0.50182126542091,-0.137118856359071,0.0648828515848541,0.357270475679559,0.116808321657888,0.0763310551341501,0.1583370271671,0.39798545443637,-0.166502663140165,0.787432464516868,0.910220977187179,-0.0800879113226919
"21-D_140","21-D","140",0.571434115876509,-0.0770648319149923,-0.296421711278382,-0.0449352314636488,-0.05922930943904,0.186077913715622,-0.353530092273191,0.286092574365473,0.0671797714155076,0.307622814471497,0.0648828515848541,0.49501287599944,-0.171910072172629,-0.110915901401851,0.101201825340203,1.06763871687536,-0.0252259762881735,-0.224562115560977,-0.353530092273191,0.0229004021100788,-0.0928529480685435,0.15618085423416,-0.397194753675131,-0.0826318990051447,-0.154481176005984,-0.564904848379903,0.295918896516495,-0.0227811442492889,0.113701675247764,-0.182786075741673,0.595503660502742,0.107911006742842,-0.00578235259400611,0.84478735007906,0.1583370271671,0.50351835424252,0.42867840994823,0.372209206525234,0.585923976958601,-0.314134585167492,-0.22605665270988,0.22362848741882,0.291996395348414,-0.60006974807319,0.0487011961454755,-0.0523961774536436,-0.0699565842874268,0.297876155046095,0.672953290603062,0.0487011961454758,0.491596594410448,-0.429213268043211,0.119024103142274,0.278183042268243,-0.0902908890736066,1.63892336722051,-0.218710237021592,-0.258425152581204,0.143175702697771,0.342175438247348,-0.0499049058263139,0.0717626693000913,-0.0499049058263139,-0.329159664118438,-0.235372412222872,0.386994834693852,-0.0276749584428483,0.683471892855227,-0.320125852253377,0.394331209724573,-0.00578235259400611,-0.227129022091666,-0.137665514801721,0.40163046658474,-0.421671523658482,-0.01547140876244,-0.0449352314636488,0.188189896292896,-0.0499049058263139,-0.0724827538015237,-0.0826318990051447,-0.0350469470992008,-0.0826318990051447,-0.257186868057454,-0.0179038744219608,0.0579700686373299,0.0854246562526777,0.84210725448963,0.034685266209719,1.54728529757728,0.760717730065201,-0.407830639190178
"21-D_160","21-D","160",0.134440011212104,0.0831566239652757,-0.204787188979131,0.0763310551341501,-0.255551829502588,-0.0851803805738444,0.372209206525234,0.219504142011621,0.0157829972409275,0.589124277829244,-0.0424567992428948,0.151858816727005,-0.044935231463649,-0.334929564642777,-0.121340043869263,0.364759176848688,-0.0649174766813385,0.451716653509292,-0.873027143742234,0.0323359821196901,-0.153072152434976,0.794381206593449,0.23184197411172,0.0831566239652757,0.060278011924109,-1.04097178105631,0.0786098346963662,-0.202018631152166,-0.196497403438002,-1.17028572029427,-0.131840054125344,0.291996395348414,-0.0203404482841755,0.105678077894537,0.598682804673499,0.166929637683153,-0.261304209694911,0.799916202989014,1.08814159686902,-0.103146927103293,-0.153072152434976,0.0808850205343943,-0.272347670907939,-0.455349762590687,0.060278011924109,0.034685266209719,-0.0624045078507195,0.0110184782444637,0.0989584800881688,-0.0750133544168456,0.0134027046024882,-0.218710237021592,0.0229004021100785,0.130052249189737,-0.485330650706696,0.889603333817318,-0.0877333719335502,-0.522840788813359,0.12344548276244,-0.0449352314636488,-0.0699565842874268,0.213295431923344,-0.0699565842874268,-0.512513650651464,0.171206827418142,-0.01547140876244,-0.0598959086429453,0.805430045133112,-0.46527432620196,0.266236837872138,0.39250061051831,-0.10573193951482,0.0854246562526777,0.864730922314751,-0.139765518339447,0.619178216059069,0.235931248507409,0.24000896473507,1.2147465226824,1.1271930310069,0.87394440612971,0.00623817221121988,0.0763310551341501,0.345964030342872,0.12344548276244,0.101201825340203,0.0393723887239317,0.470927257475127,0.349742699451405,-0.0474179287565815,0.919149363287674,0.173340676410745
"21-D_180","21-D","180",-0.0800879113226919,0.0556584273145413,-0.287477585010582,-0.0877333719335504,-0.345134008146481,-0.235597223126943,0.0876891286072285,0.171206827418142,-0.000962117435383687,0.543660847697964,0.0717626693000913,0.204975368259038,-0.0106187468011433,-0.0979907563507493,-0.118726938570751,-0.0902908890736066,-0.110915901401851,0.12344548276244,-0.84684321193858,-0.00578235259400611,-0.192530114963221,0.321158452275943,0.666908047980779,0.154021453979355,0.00384206629439404,-0.783389931257558,0.132247798298439,-0.0649174766813384,-0.163806540058933,-0.800039799158295,-0.429213268043211,0.437582863847845,0.342175438247348,0.654741034767322,0.595503660502742,-0.180059378576025,-0.00819852304803079,0.774839759827326,0.991075836040927,-0.199255376063222,-0.118726938570751,0.192404608729256,-0.523733503408395,-0.478614181216009,0.183962834842595,-0.0350469470992006,-0.134477040860036,0.671444353073089,0.119024103142274,-0.123957890787682,0.0671797714155076,-0.278700260993305,0.564947166813768,-0.0276749584428483,-0.38458370273713,0.921777858927352,-0.113514884343765,-0.38772614580245,-0.0130430374755989,-0.155748270881571,-0.017903874421961,0.0648828515848541,-0.017903874421961,0.188189896292896,-0.0548917584960722,0.154021453979356,0.173340676410745,0.812292844873271,-0.400364816565395,0.034685266209719,0.209141397838592,-0.134477040860036,0.162639729553787,0.689448268596682,-0.0826318990051447,0.472661057756975,0.410702909014953,0.309564269536238,0.401630466584741,0.364759176848688,0.321158452275943,-0.0424567992428948,0.00863030514343974,0.23184197411172,0.0854246562526777,0.0854246562526777,0.377771589874647,0.533729452070649,0.364759176848688,1.65809720535137,0.907659827853289,0.0229004021100788
"21-D_20","21-D","20",0.227741075839128,0.00384206629439404,-0.0375126715771906,0.107911006742842,-0.0800879113226917,-0.221511043649443,0.280164494359539,-0.131840054125344,0.0556584273145413,-0.649125627037131,0.105678077894537,0.0556584273145413,-0.158429362604483,-0.21921793962489,0.060278011924109,0.196607044094818,0.0989584800881688,0.151858816727005,1.21991710753352,0.12565110166152,0.0205318331313526,-0.258425152581204,0.190298791626594,0.448196166059841,0.162639729553787,0.781849272405971,-0.0649174766813385,-0.103146927103293,0.372209206525234,-0.416320465162317,0.0299828662157143,-0.0649174766813384,0.23184197411172,0.317304068361915,-0.272878239206402,-0.121340043869263,0.274211955145279,-0.126580496565143,-0.269976015252641,-0.0474179287565815,-0.123957890787682,-0.142417044615852,0.723340120251171,-0.126580496565143,0.252173413202027,0.00623817221121988,1.18014786115843,-0.171910072172629,-0.0724827538015237,-0.161115446122722,-0.169203834198658,-0.597277823154395,0.757876659747896,-0.272878239206402,-0.0375126715771904,4.0872648106933,0.0854246562526777,0.410702909014953,0.229792982088718,-0.244115423670742,-0.221093486634298,-0.170045098357691,-0.197391902564042,-0.684354383781386,-0.000962117435383526,0.190298791626594,0.204975368259038,0.288063200325316,-0.18825497933718,0.041710251884837,0.149692932757849,-0.00819852304803079,0.204467107479694,-0.169203834198658,-0.487441579705477,0.513659176507799,0.535389439644066,0.359146298386799,0.435806364373416,0.636295928956651,0.481298941547565,0.00144197417390632,0.0922074380970886,0.194507356574013,0.101201825340203,0.0989584800881688,0.16478627814334,-0.0474179287565815,0.277943282878769,0.0370307309449667,0.280164494359539,-0.213124883390736
"21-D_200","21-D","200",0.0299828662157143,0.0393723887239317,-0.204787188979131,0.0110184782444637,-0.161115446122722,0.0579700686373299,0.169069817634883,0.23184197411172,0.0648828515848541,0.695399989252622,0.0648828515848541,0.0370307309449667,-0.110915901401851,-0.017903874421961,0.060278011924109,0.0579700686373299,0.140996733788031,0.096711641071677,-0.536726315068309,0.130052249189737,-0.0954195650786824,0.227915506422118,-0.0775484017057158,0.246104009883917,0.0579700686373299,-0.652901329377732,0.211219909998848,-0.403541860441014,0.0299828662157143,-1.15414200420138,-0.261304209694911,-0.00578235259400611,0.0510240030244666,0.347854602020694,0.592317495248168,0.0763310551341501,-0.207561069935362,0.852797892818771,0.921690214668086,-0.37855962407265,-0.296308637115987,0.12344548276244,-0.00578235259400611,-0.550746785383243,0.107911006742842,0.0808850205343943,0.0323359821196901,0.112366523072563,0.317304068361915,0.0276259059775613,0.107911006742842,-0.199255376063222,0.0717626693000913,0.034685266209719,-0.432454552356253,0.574666685100071,-0.213124883390736,-0.365871442474959,0.217437539393683,-0.0851803805738444,-0.0276749584428483,0.130052249189737,-0.0276749584428483,-0.378319276737761,0.276198865032242,0.364759176848688,0.297876155046095,1.1005291879634,-0.278700260993305,-0.0775484017057158,0.543660847697964,-0.281620106233825,0.204975368259038,0.692427198089708,0.619178216059069,0.64554795964502,0.593911457448639,0.336473830085142,0.573051305868612,0.600269753509004,0.449957483628003,0.136628898054223,0.0876891286072285,0.462226862991297,0.110140484919323,0.119024103142274,0.15618085423416,0.22568624706149,0.0276259059775613,0.981365585411755,1.15553337346592,0.0556584273145413
"21-D_220","21-D","220",0.00144197417390632,-0.103146927103293,-0.202018631152166,-0.0902908890736066,0.349742699451405,0.202887833470143,0.0157829972409275,0.319232547516718,0.140996733788031,0.550243998709518,-0.0523961774536436,0.401630466584741,-0.252684217664227,-0.259891509445402,-0.0902908890736066,0.0717626693000913,0.0110184782444637,-0.0954195650786824,-0.812654525762753,-0.0548917584960722,-0.280639123624853,0.340277404766254,-0.468597744029372,0.107911006742842,0.0463746434063252,-0.978046558895951,0.1583370271671,-0.252684217664227,0.12344548276244,-0.959224438812508,-0.142417044615852,-0.155748270881571,-0.0474179287565815,0.522055749160964,0.698366667330485,-0.102969797674484,0.423309237242387,0.899948986189672,0.958038376681269,-0.599796853809946,-0.368973346574436,-0.221511043649443,0.25799158964959,-0.645359780365112,-0.0928529480685435,-0.00337022188514225,-0.171910072172629,-0.287477585010582,0.372209206525234,0.116808321657888,0.36289064266586,-0.174621396107069,0.00384206629439404,0.37591984396404,-0.561352285538511,0.912777587887937,-0.305194079127561,-0.56846618082496,0.221567788538409,-0.142417044615852,-0.238431038693137,0.14535138557262,-0.238431038693137,-0.726583575639085,0.39798545443637,0.386994834693852,-0.00819852304803079,0.887005286940359,-0.505669733448303,-0.147734761808246,0.439357178474257,-0.290415266825641,-0.0474179287565815,0.705756782049797,1.55139296802745,-0.0276749584428483,0.359146298386799,0.107911006742842,-0.481968507397831,-0.38458370273713,-0.515947822805976,-0.103146927103293,-0.0750133544168454,0.756454023757566,-0.0179038744219608,-0.0902908890736066,-0.0954195650786824,0.0763310551341504,0.181844650581765,0.55352434355365,0.7692075253037,0.169069817634883
"21-D_240","21-D","240",0.535389439644066,0.417920007811965,-0.31114825613412,-0.221511043649443,0.38883242893145,-0.0252259762881737,0.221567788538409,0.107386406873767,0.332660201005126,0.620742791682413,-0.00578235259400611,0.630094780183418,-0.00337022188514241,0.154021453979355,-0.185517936131699,0.677470656910191,-0.180059378576025,-0.213124883390736,-1.45008444637804,-0.288856052018998,-0.10573193951482,0.200797273705855,-0.868630020433169,0.00384206629439404,-0.0775484017057158,-1.91956972967926,0.262232685868239,-0.32313084196902,0.177598929327733,-0.881861801116996,0.264236151043547,0.270229907237998,-0.0954195650786824,0.0989584800881688,0.815028849943025,0.656267534794289,0.654741034767322,1.14252235750996,1.12829340100982,-0.895216062227601,-0.116118557746519,-0.502259911390907,-1.148242985528,-0.448771114434012,-0.218710237021592,0.262232685868239,-0.584098592052172,0.262232685868239,0.576280257621355,0.423309237242387,0.546956178141411,-0.0826318990051447,-0.218710237021592,0.229792982088718,-0.637857449153282,-1.01158797427521,-0.314134585167492,-0.783389931257558,0.183962834842595,-0.0928529480685435,0.435806364373416,0.190298791626595,0.435806364373416,-0.0350469470992008,0.535389439644066,0.15618085423416,0.0989584800881688,0.935585467385421,-0.687334826441606,0.540357972993256,0.0487011961454755,-0.305194079127561,-0.38458370273713,0.924226599007903,1.16199514169249,-0.229946236501606,-0.0399826174653523,-0.515947822805976,-0.575615328461903,-0.687334826441606,-0.641830569674241,-0.110915901401851,-0.166502663140165,0.0854246562526777,-0.147734761808247,-0.150400988848548,-0.161115446122722,-0.359687570851587,-0.264189023775286,-0.800039799158295,1.20330558214568,0.188189896292896
"21-D_260","21-D","260",0.284119252978775,0.297876155046095,-0.326142103844744,-0.116118557746519,0.321158452275943,-0.134477040860036,0.264236151043547,0.323081789503733,0.235931248507409,0.564947166813768,-0.0499049058263138,0.260226434618921,-0.00578235259400611,0.0989584800881688,-0.118726938570752,0.410702909014953,-0.134477040860036,-0.00819852304803079,-1.2827897009804,-0.113514884343765,-0.0826318990051447,0.160489982410541,-0.522840788813359,0.101201825340203,-0.121340043869263,-1.38583985870756,0.171206827418142,-0.461958546666336,-0.0301281048269634,-1.1595031959558,-0.126580496565143,0.50351835424252,-0.123957890787682,0.32883646422954,0.714575238851626,0.405266292704855,0.510286816297868,1.13049162639456,1.01387907741213,-0.353530092273191,-0.335213785637587,-0.255551829502588,-0.716702330854666,-0.44549300568236,-0.180059378576025,0.0831566239652757,-0.446251478425383,0.364759176848688,0.7692075253037,0.248129982750056,0.592317495248168,-0.129207878534966,-0.169203834198658,0.256205542827493,-0.69121199900059,-0.540218679496759,-0.397194753675131,-0.671929500769015,0.0831566239652757,-0.166502663140165,0.114589131801933,0.0625822689878102,0.114589131801933,0.0740486704769937,0.439357178474257,0.36289064266586,0.110140484919323,1.04916605680388,-0.637857449153281,0.448196166059841,0.0229004021100788,-0.365871442474959,-0.180059378576026,0.816394909169121,0.484739665908911,-0.158429362604483,0.105678077894537,-0.32313084196902,-0.249822294406943,-0.46527432620196,-0.468597744029372,-0.0301281048269633,-0.131840054125344,-0.0902908890736066,-0.116118557746519,-0.215914857265243,-0.103146927103293,-0.227129022091666,-0.0325854296262875,-0.241270431542137,1.02219023963407,0.169069817634883
