"timepoints","temperature","light"
"20","21","L"
"20","21","L"
"20","21","L"
"20","21","L"
"40","21","L"
"40","21","L"
"40","21","L"
"40","21","L"
"60","21","L"
"60","21","L"
"60","21","L"
"60","21","L"
"80","21","L"
"80","21","L"
"80","21","L"
"80","21","L"
"100","21","L"
"100","21","L"
"100","21","L"
"100","21","L"
"120","21","L"
"120","21","L"
"120","21","L"
"120","21","L"
"140","21","L"
"140","21","L"
"140","21","L"
"140","21","L"
"160","21","L"
"160","21","L"
"160","21","L"
"160","21","L"
"180","21","L"
"180","21","L"
"180","21","L"
"180","21","L"
"200","21","L"
"200","21","L"
"200","21","L"
"200","21","L"
"220","21","L"
"220","21","L"
"220","21","L"
"220","21","L"
"240","21","L"
"240","21","L"
"240","21","L"
"240","21","L"
"260","21","L"
"260","21","L"
"260","21","L"
"260","21","L"
"280","21","L"
"280","21","L"
"280","21","L"
"280","21","L"
"300","21","L"
"300","21","L"
"300","21","L"
"300","21","L"
"320","21","L"
"320","21","L"
"320","21","L"
"320","21","L"
"340","21","L"
"340","21","L"
"340","21","L"
"340","21","L"
"360","21","L"
"360","21","L"
"360","21","L"
"360","21","L"
"20","21","D"
"20","21","D"
"20","21","D"
"20","21","D"
"40","21","D"
"40","21","D"
"40","21","D"
"40","21","D"
"60","21","D"
"60","21","D"
"60","21","D"
"60","21","D"
"80","21","D"
"80","21","D"
"80","21","D"
"80","21","D"
"100","21","D"
"100","21","D"
"100","21","D"
"100","21","D"
"120","21","D"
"120","21","D"
"120","21","D"
"120","21","D"
"140","21","D"
"140","21","D"
"140","21","D"
"140","21","D"
"160","21","D"
"160","21","D"
"160","21","D"
"160","21","D"
"180","21","D"
"180","21","D"
"180","21","D"
"180","21","D"
"200","21","D"
"200","21","D"
"200","21","D"
"200","21","D"
"220","21","D"
"220","21","D"
"220","21","D"
"220","21","D"
"240","21","D"
"240","21","D"
"240","21","D"
"240","21","D"
"260","21","D"
"260","21","D"
"260","21","D"
"260","21","D"
"280","21","D"
"280","21","D"
"280","21","D"
"280","21","D"
"300","21","D"
"300","21","D"
"300","21","D"
"300","21","D"
"320","21","D"
"320","21","D"
"320","21","D"
"320","21","D"
"340","21","D"
"340","21","D"
"340","21","D"
"340","21","D"
"360","21","D"
"360","21","D"
"360","21","D"
"360","21","D"
"20","4","L"
"20","4","L"
"20","4","L"
"20","4","L"
"40","4","L"
"40","4","L"
"40","4","L"
"40","4","L"
"60","4","L"
"60","4","L"
"60","4","L"
"60","4","L"
"80","4","L"
"80","4","L"
"80","4","L"
"80","4","L"
"100","4","L"
"100","4","L"
"100","4","L"
"100","4","L"
"120","4","L"
"120","4","L"
"120","4","L"
"120","4","L"
"140","4","L"
"140","4","L"
"140","4","L"
"140","4","L"
"160","4","L"
"160","4","L"
"160","4","L"
"160","4","L"
"180","4","L"
"180","4","L"
"180","4","L"
"180","4","L"
"200","4","L"
"200","4","L"
"200","4","L"
"200","4","L"
"220","4","L"
"220","4","L"
"220","4","L"
"220","4","L"
"240","4","L"
"240","4","L"
"240","4","L"
"240","4","L"
"260","4","L"
"260","4","L"
"260","4","L"
"260","4","L"
"280","4","L"
"280","4","L"
"280","4","L"
"280","4","L"
